,project,prefixes,prefixes_names,main_releases,rapid_releases,trad_releases,patches,releases,time
120,apache/beam,4,dataflow_runner_v sdks/v jupyterlab-sidepanel-v v,53,19,7,26,79,0 days 00:00:02.282292
121,aws/aws-sdk-php,1,,234,16,2,1228,1462,0 days 00:00:03.094702
122,express-validator/express-validator,1,v,55,6,7,60,115,0 days 00:00:00.180492
123,octokit/octokit.js,1,v,8,0,0,9,17,0 days 00:00:00.018384
124,pachyderm/pachyderm,6, debug_rtd_sidebar_ v vv debug_rtd_styles gf-,28,8,12,232,260,0 days 00:00:02.027343
125,hashicorp/serf,1,v,9,3,2,22,31,0 days 00:00:00.109836
126,brndnmtthws/conky,2, v,7,0,6,21,28,0 days 00:00:00.202266
127,smacke/ffsubsync,2, v,2,0,0,27,29,0 days 00:00:00.026097
128,bfenetworks/bfe,1,v,18,10,3,0,18,0 days 00:00:00.062557
129,expressjs/cors,1,v,11,0,1,23,34,0 days 00:00:00.023097
130,jackc/pgx,1,v,36,5,14,18,54,0 days 00:00:00.267117
131,mikaelbr/node-notifier,1,v,24,3,10,45,69,0 days 00:00:00.051272
132,weaveworks/scope,2, v,31,15,5,30,61,0 days 00:00:00.287207
133,missive/emoji-mart,1,v,20,4,7,40,60,0 days 00:00:00.055497
134,lutris/lutris,2, v,3,1,1,63,66,0 days 00:00:00.565240
135,jrnl-org/jrnl,2, v,13,3,4,24,37,0 days 00:00:00.080907
136,persepolisdm/persepolis,1,,5,0,4,6,11,0 days 00:00:00.068334
137,nanomsg/nanomsg,1,,3,0,2,5,8,0 days 00:00:00.075895
138,angular-ui/ui-grid,1,v,24,7,7,86,110,0 days 00:00:00.261876
139,jbaysolutions/vue-grid-layout,1,,5,1,1,29,34,0 days 00:00:00.031058
140,iovisor/bpftrace,1,v,8,0,6,11,19,0 days 00:00:00.131719
141,serilog/serilog,1,v,19,3,7,13,32,0 days 00:00:00.083978
142,SpiderLabs/ModSecurity,1,v,7,0,6,46,53,0 days 00:00:00.200911
143,evernote/android-job,1,v,4,0,2,36,40,0 days 00:00:00.037070
144,jaywcjlove/hotkeys,1,v,12,2,3,62,74,0 days 00:00:00.037454
145,juicedata/juicefs,2, v,8,5,0,17,25,0 days 00:00:00.164803
146,algolia/places,1,v,34,10,3,69,103,0 days 00:00:00.079983
147,dotnet/reactive,3,rxnet-v ixnet-v v,8,0,6,17,25,0 days 00:00:00.273470
148,valor-software/ngx-bootstrap,2, v,31,11,7,81,112,0 days 00:00:00.319932
149,jonls/redshift,2, v,17,3,7,2,19,0 days 00:00:00.038428
150,trinodb/trino,1,,297,265,0,12,309,0 days 00:00:01.628874
151,NVIDIA/TensorRT,2, v,27,8,0,6,33,0 days 00:00:00.028739
152,tidwall/evio,1,v,2,0,0,8,10,0 days 00:00:00.017631
153,JesusFreke/smali,2,smalidea-v v,23,4,8,38,61,0 days 00:00:00.233454
154,gcanti/io-ts,1,,20,2,0,84,104,0 days 00:00:00.055421
155,sqlalchemy/sqlalchemy,1,rel_,14,0,13,194,208,0 days 00:00:01.031554
156,PX4/PX4-Autopilot,6,fixedwing_ NuttX- auterion-v alpha_ v FF-v,14,0,8,41,55,0 days 00:00:02.139176
157,asaskevich/govalidator,2, v,11,0,8,3,14,0 days 00:00:00.169795
158,nextapps-de/winbox,1,,2,1,0,17,19,0 days 00:00:00.146114
159,alan-turing-institute/sktime,1,v,10,0,4,14,24,0 days 00:00:00.160949
160,dagger/dagger,1,v,2,0,0,12,14,0 days 00:00:00.205472
161,anishathalye/dotbot,1,v,20,0,3,28,48,0 days 00:00:00.032129
162,nathancahill/split,2, v,10,1,2,38,48,0 days 00:00:00.028930
