project,prefixes,prefixes_names,main_releases,rapid_releases,trad_releases,patches,releases,time,uncommon_prefixes
houtianze/bypy,1,,5,1,2,69,74,0 days 00:00:00.044211,0
FreeRDP/FreeRDP,1,,9,2,4,8,17,0 days 00:00:00.837274,0
rs/zerolog,1,v,27,9,8,16,43,0 days 00:00:00.029583,0
appleboy/gorush,2, v,16,6,8,15,31,0 days 00:00:00.052236,0
baldurk/renderdoc,1,v,39,6,11,0,39,0 days 00:00:00.855333,0
rancher/os,1,v,15,4,6,43,58,0 days 00:00:00.150807,0
linkedin/css-blocks,2, v,17,9,4,22,39,0 days 00:00:00.090332,0
sindresorhus/caprine,2, v,70,49,3,43,113,0 days 00:00:00.074582,0
sebastianbergmann/environment,1,,11,1,6,27,38,0 days 00:00:00.042313,0
Squirrel/Squirrel.Windows,1,,17,5,7,48,65,0 days 00:00:00.093684,0
the-benchmarker/web-frameworks,2, v,3,1,1,13,16,0 days 00:00:00.055263,0
kpdecker/jsdiff,1,v,15,3,9,24,39,0 days 00:00:00.039899,0
conventional-changelog/standard-version,1,v,24,8,13,13,37,0 days 00:00:00.035920,0
ramboxapp/community-edition,1,,7,3,3,36,43,0 days 00:00:00.088457,0
apache/storm,2, v,11,1,9,26,37,0 days 00:00:00.843933,0
isomorphic-git/isomorphic-git,1,v,96,86,3,238,334,0 days 00:00:00.209514,0
dylanaraps/pywal,1,,17,10,2,65,82,0 days 00:00:00.066682,0
Radarr/Radarr,2, v,99,64,14,13,112,0 days 00:00:00.738157,0
vmware-tanzu/velero,1,v,17,2,8,43,60,0 days 00:00:00.273104,0
simeji/jid,2, v,7,4,1,14,21,0 days 00:00:00.017485,0
graphql/express-graphql,1,v,12,3,7,31,43,0 days 00:00:00.055410,0
Uberi/speech_recognition,1,,16,6,6,29,45,0 days 00:00:00.032497,0
automl/auto-sklearn,3, v. v,12,2,6,21,33,0 days 00:00:00.136003,0
concourse/concourse,1,v,134,117,4,81,215,0 days 00:00:01.583785,0
PrestaShop/PrestaShop,1,,30,14,3,83,113,0 days 00:00:04.389128,0
symfony/translation,1,v,26,4,21,462,488,0 days 00:00:00.391165,0
NixOS/nix,1,,37,5,23,53,90,0 days 00:00:00.781969,0
Cyan4973/xxHash,2,r v,12,4,4,11,23,0 days 00:00:00.081115,0
katspaugh/wavesurfer.js,2, v,26,5,10,105,131,0 days 00:00:00.119783,0
arc298/instagram-scraper,2, v,11,3,4,68,79,0 days 00:00:00.041822,0
PHPOffice/PHPWord,1,,12,3,7,8,20,0 days 00:00:00.109092,0
elasticsearch-dump/elasticsearch-dump,2, v,113,92,6,137,250,0 days 00:00:00.269416,0
