project,prefixes,prefixes_names,main_releases,rapid_releases,trad_releases,patches,releases,time
google/error-prone,1,v,15,2,5,34,49,0 days 00:00:00.295859
rest-assured/rest-assured,1,rest-assured-,32,6,15,40,72,0 days 00:00:00.128906
moroshko/react-autosuggest,1,v,41,3,3,54,95,0 days 00:00:00.062808
platformio/platformio-core,3, v. v,43,22,13,72,115,0 days 00:00:00.309111
twitchtv/twirp,1,v,18,8,6,10,28,0 days 00:00:00.045654
gruntwork-io/terragrunt,1,v,37,7,5,337,374,0 days 00:00:00.291643
perkeep/perkeep,1,,11,4,5,0,11,0 days 00:00:00.408522
neuecc/UniRx,1,,18,8,4,7,25,0 days 00:00:00.063868
concourse/concourse,1,v,134,104,4,81,215,0 days 00:00:01.992420
Unleash/unleash,2, v,34,15,5,132,166,0 days 00:00:00.321648
davidjbradshaw/iframe-resizer,2, v,26,9,4,96,122,0 days 00:00:00.100546
kulshekhar/ts-jest,2, v,30,13,6,88,118,0 days 00:00:00.345598
mitchellh/mapstructure,1,v,6,2,3,11,17,0 days 00:00:00.027913
mahmoud/boltons,1,,24,8,8,21,45,0 days 00:00:00.205494
postmanlabs/newman,3, v. v,26,8,6,80,106,0 days 00:00:00.376061
react-native-device-info/react-native-device-info,1,v,57,8,2,114,171,0 days 00:00:00.126185
voidcosmos/npkill,1,v,8,5,2,19,27,0 days 00:00:00.034660
vmware-tanzu/octant,1,v,25,15,3,15,40,0 days 00:00:00.343175
deepmipt/DeepPavlov,1,,17,4,3,28,45,0 days 00:00:00.155255
Financial-Times/polyfill-service,2, v,87,36,5,87,174,0 days 00:00:00.261216
gevent/gevent,2, v,19,4,12,35,54,0 days 00:00:00.358309
HMBSbige/ShadowsocksR-Windows,1,,28,4,10,127,155,0 days 00:00:00.143033
redux-observable/redux-observable,2, v,23,9,5,8,31,0 days 00:00:00.043311
mattn/go-sqlite3,1,v,16,2,6,19,35,0 days 00:00:00.065009
kelseyhightower/confd,1,v,15,3,8,7,22,0 days 00:00:00.058778
gcanti/fp-ts,1,,38,19,7,115,153,0 days 00:00:00.172864
taigaio/taiga-back,1,,24,7,8,74,98,0 days 00:00:00.334987
UKPLab/sentence-transformers,1,v,10,3,5,20,30,0 days 00:00:00.063714
metalsmith/metalsmith,2, v,24,4,2,60,84,0 days 00:00:00.046320
carla-simulator/carla,1,,9,4,3,38,47,0 days 00:00:00.386934
jsx-eslint/eslint-plugin-react,1,v,81,38,6,88,169,0 days 00:00:00.398522
hybridgroup/gobot,3, v. v,29,10,11,16,45,0 days 00:00:00.161956
colinhacks/zod,2, v,20,10,2,23,43,0 days 00:00:00.097065
remix-run/history,1,v,38,10,4,40,78,0 days 00:00:00.170964
pentaho/pentaho-kettle,1,,31,3,11,37,68,0 days 00:00:01.128229
rebassjs/rebass,1,v,11,2,4,42,53,0 days 00:00:00.097514
BeyondDimension/SteamTools,1,,10,5,3,28,38,0 days 00:00:00.171200
